TrialLabel,Syl1,Syl2,Syl3,Syl4,VoicingA,VoicingB,Pair Status,Pair Number,Order,Ordering,POA,Script1,Script2
pdm01ABABa,B.OW.L,P.OW.L,B.OW.L,P.OW.L,voiced,voiceless,minPair,1,ABAB,a,labial,89,185
pdm01ABABb,P.OW.L,B.OW.L,P.OW.L,B.OW.L,voiced,voiceless,minPair,1,ABAB,b,labial,26,122
pdm01ABBAa,B.OW.L,P.OW.L,P.OW.L,B.OW.L,voiced,voiceless,minPair,1,ABBA,a,labial,177,81
pdm01ABBAb,P.OW.L,B.OW.L,B.OW.L,P.OW.L,voiced,voiceless,minPair,1,ABBA,b,labial,109,13
pdm02ABABa,B.IY.K,P.IY.K,B.IY.K,P.IY.K,voiced,voiceless,minPair,2,ABAB,a,labial,14,110
pdm02ABABb,P.IY.K,B.IY.K,P.IY.K,B.IY.K,voiced,voiceless,minPair,2,ABAB,b,labial,51,147
pdm02ABBAa,B.IY.K,P.IY.K,P.IY.K,B.IY.K,voiced,voiceless,minPair,2,ABBA,a,labial,145,49
pdm02ABBAb,P.IY.K,B.IY.K,B.IY.K,P.IY.K,voiced,voiceless,minPair,2,ABBA,b,labial,121,25
pdm03ABABa,B.EH.T,P.EH.T,B.EH.T,P.EH.T,voiced,voiceless,minPair,3,ABAB,a,labial,88,184
pdm03ABABb,P.EH.T,B.EH.T,P.EH.T,B.EH.T,voiced,voiceless,minPair,3,ABAB,b,labial,6,102
pdm03ABBAa,B.EH.T,P.EH.T,P.EH.T,B.EH.T,voiced,voiceless,minPair,3,ABBA,a,labial,139,43
pdm03ABBAb,P.EH.T,B.EH.T,B.EH.T,P.EH.T,voiced,voiceless,minPair,3,ABBA,b,labial,168,72
pdm04ABABa,B.OW.S.T,P.OW.S.T,B.OW.S.T,P.OW.S.T,voiced,voiceless,minPair,4,ABAB,a,labial,60,156
pdm04ABABb,P.OW.S.T,B.OW.S.T,P.OW.S.T,B.OW.S.T,voiced,voiceless,minPair,4,ABAB,b,labial,32,128
pdm04ABBAa,B.OW.S.T,P.OW.S.T,P.OW.S.T,B.OW.S.T,voiced,voiceless,minPair,4,ABBA,a,labial,178,82
